# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 275:         5.873       52.056      48.20  DEELEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  275,20191201,   24
  275,20191202,   79
  275,20191203,   74
  275,20191204,   62
  275,20191205,   37
  275,20191206,   88
  275,20191207,   92
  275,20191208,  106
  275,20191209,   80
  275,20191210,   69
  275,20191211,   65
  275,20191212,   51
  275,20191213,   60
  275,20191214,   75
  275,20191215,   86
  275,20191216,   81
  275,20191217,  150
  275,20191218,   83
  275,20191219,  136
  275,20191220,  113
  275,20191221,   87
  275,20191222,   87
  275,20191223,   83
  275,20191224,   94
  275,20191225,   86
  275,20191226,   61
  275,20191227,   66
  275,20191228,   26
  275,20191229,   40
  275,20191230,   77
  275,20191231,   82
  275,20200101,   26
  275,20200102,   66
  275,20200103,   96
  275,20200104,   73
  275,20200105,   69
  275,20200106,   63
  275,20200107,   76
  275,20200108,  114
  275,20200109,  122
  275,20200110,  113
  275,20200111,   66
  275,20200112,   92
  275,20200113,  103
  275,20200114,  118
  275,20200115,  117
  275,20200116,  104
  275,20200117,   99
  275,20200118,   71
  275,20200119,   73
  275,20200120,   55
  275,20200121,   31
  275,20200122,   49
  275,20200123,   50
  275,20200124,   23
  275,20200125,   17
  275,20200126,   83
  275,20200127,   91
  275,20200128,   74
  275,20200129,   61
  275,20200130,  111
  275,20200131,  121
  275,20200201,  115
  275,20200202,  109
  275,20200203,  106
  275,20200204,   67
  275,20200205,   69
  275,20200206,   80
  275,20200207,   84
  275,20200208,  106
  275,20200209,  123
  275,20200210,  103
  275,20200211,   77
  275,20200212,   72
  275,20200213,   78
  275,20200214,   78
  275,20200215,  127
  275,20200216,  172
  275,20200217,  107
  275,20200218,   88
  275,20200219,   80
  275,20200220,  101
  275,20200221,   84
  275,20200222,  108
  275,20200223,  118
  275,20200224,  104
  275,20200225,  100
  275,20200226,   59
  275,20200227,   32
  275,20200228,   68
  275,20200229,  135
  275,20200301,   99
  275,20200302,   79
  275,20200303,   94
  275,20200304,  105
  275,20200305,   67
  275,20200306,   79
  275,20200307,  108
  275,20200308,   91
  275,20200309,  100
  275,20200310,  122
  275,20200311,  132
  275,20200312,  110
  275,20200313,   91
  275,20200314,  121
  275,20200315,  113
  275,20200316,  143
  275,20200317,  140
  275,20200318,  156
  275,20200319,  101
  275,20200320,   87
  275,20200321,   88
  275,20200322,   92
  275,20200323,  103
  275,20200324,  111
  275,20200325,  122
  275,20200326,  114
  275,20200327,  159
  275,20200328,  133
  275,20200329,   76
  275,20200330,   87
  275,20200331,   97
  275,20200401,   97
  275,20200402,  107
  275,20200403,   91
  275,20200404,  144
  275,20200405,  198
  275,20200406,  237
  275,20200407,  196
  275,20200408,  249
  275,20200409,  208
  275,20200410,  184
  275,20200411,  214
  275,20200412,  234
  275,20200413,  110
  275,20200414,   97
  275,20200415,  181
  275,20200416,  222
  275,20200417,  178
  275,20200418,  203
  275,20200419,  179
  275,20200420,  186
  275,20200421,  192
  275,20200422,  214
  275,20200423,  235
  275,20200424,  196
  275,20200425,  168
  275,20200426,  182
  275,20200427,  219
  275,20200428,  140
  275,20200429,  162
  275,20200430,  170
  275,20200501,  138
  275,20200502,  137
  275,20200503,  172
  275,20200504,  165
  275,20200505,  156
  275,20200506,  182
  275,20200507,  214
  275,20200508,  231
  275,20200509,  251
  275,20200510,  241
  275,20200511,  124
  275,20200512,  125
  275,20200513,  126
  275,20200514,  138
  275,20200515,  151
  275,20200516,  174
  275,20200517,  194
  275,20200518,  233
  275,20200519,  237
  275,20200520,  222
  275,20200521,  270
  275,20200522,  271
  275,20200523,  201
  275,20200524,  150
  275,20200525,  204
  275,20200526,  236
  275,20200527,  223
  275,20200528,  212
  275,20200529,  231
  275,20200530,  243
  275,20200531,  224
  275,20200601,  252
  275,20200602,  290
  275,20200603,  248
  275,20200604,  163
  275,20200605,  139
  275,20200606,  171
  275,20200607,  168
  275,20200608,  176
  275,20200609,  179
  275,20200610,  192
  275,20200611,  212
  275,20200612,  273
  275,20200613,  266
  275,20200614,  253
  275,20200615,  237
  275,20200616,  217
  275,20200617,  244
  275,20200618,  231
  275,20200619,  234
  275,20200620,  217
  275,20200621,  255
  275,20200622,  243
  275,20200623,  283
  275,20200624,  300
  275,20200625,  299
  275,20200626,  311
  275,20200627,  272
  275,20200628,  222
  275,20200629,  201
  275,20200630,  198
  275,20200701,  211
  275,20200702,  211
  275,20200703,  218
  275,20200704,  184
  275,20200705,  220
  275,20200706,  182
  275,20200707,  195
  275,20200708,  173
  275,20200709,  180
  275,20200710,  172
  275,20200711,  202
  275,20200712,  213
  275,20200713,  240
  275,20200714,  175
  275,20200715,  210
  275,20200716,  185
  275,20200717,  211
  275,20200718,  262
  275,20200719,  248
  275,20200720,  211
  275,20200721,  215
  275,20200722,  206
  275,20200723,  254
  275,20200724,  215
  275,20200725,  219
  275,20200726,  224
  275,20200727,  230
  275,20200728,  216
  275,20200729,  213
  275,20200730,  259
  275,20200731,  323
  275,20200801,  268
  275,20200802,  231
  275,20200803,  224
  275,20200804,  224
  275,20200805,  289
  275,20200806,  316
  275,20200807,  343
  275,20200808,  359
  275,20200809,  339
  275,20200810,  336
  275,20200811,  354
  275,20200812,  342
  275,20200813,  332
  275,20200814,  297
  275,20200815,  297
  275,20200816,  307
  275,20200817,  271
  275,20200818,  261
  275,20200819,  282
  275,20200820,  291
  275,20200821,  305
  275,20200822,  248
  275,20200823,  221
  275,20200824,  212
  275,20200825,  202
  275,20200826,  187
  275,20200827,  205
  275,20200828,  211
  275,20200829,  197
  275,20200830,  187
  275,20200831,  187
  275,20200901,  197
  275,20200902,  223
  275,20200903,  199
  275,20200904,  216
  275,20200905,  198
  275,20200906,  190
  275,20200907,  214
  275,20200908,  181
  275,20200909,  210
  275,20200910,  194
  275,20200911,  207
  275,20200912,  189
  275,20200913,  231
  275,20200914,  298
  275,20200915,  326
  275,20200916,  257
  275,20200917,  196
  275,20200918,  218
  275,20200919,  243
  275,20200920,  238
  275,20200921,  260
  275,20200922,  240
  275,20200923,  231
  275,20200924,  186
  275,20200925,  146
  275,20200926,  150
  275,20200927,  153
  275,20200928,  126
  275,20200929,  182
  275,20200930,  192
  275,20201001,  158
  275,20201002,  173
  275,20201003,  151
  275,20201004,  144
  275,20201005,  134
  275,20201006,  139
  275,20201007,  158
  275,20201008,  157
  275,20201009,  151
  275,20201010,  124
  275,20201011,  137
  275,20201012,  128
  275,20201013,  131
  275,20201014,  116
  275,20201015,  115
  275,20201016,  112
  275,20201017,  110
  275,20201018,  122
  275,20201019,  126
  275,20201020,  139
  275,20201021,  196
  275,20201022,  176
  275,20201023,  158
  275,20201024,  156
  275,20201025,  155
  275,20201026,  119
  275,20201027,  115
  275,20201028,  127
  275,20201029,  129
  275,20201030,  153
  275,20201031,  155
  275,20201101,  175
  275,20201102,  192
  275,20201103,  125
  275,20201104,  118
  275,20201105,  121
  275,20201106,  126
  275,20201107,  144
  275,20201108,  135
  275,20201109,  173
  275,20201110,  159
  275,20201111,  142
  275,20201112,  123
  275,20201113,  127
  275,20201114,  146
  275,20201115,  159
  275,20201116,  115
  275,20201117,  126
  275,20201118,  153
  275,20201119,  133
  275,20201120,   84
  275,20201121,   95
  275,20201122,  111
  275,20201123,   96
  275,20201124,  100
  275,20201125,   93
  275,20201126,   92
  275,20201127,   75
  275,20201128,   40
  275,20201129,   35
  275,20201130,   64
