# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 275:         5.873       52.056      48.20  DEELEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# 
# STN,YYYYMMDD,   TX,   SQ,   DR
# 
  275,20191201,   24,   24,    0
  275,20191202,   79,   50,   12
  275,20191203,   74,   68,    0
  275,20191204,   62,   68,    0
  275,20191205,   37,    0,    0
  275,20191206,   88,    0,  172
  275,20191207,   92,    2,   21
  275,20191208,  106,    7,   42
  275,20191209,   80,   23,   39
  275,20191210,   69,   49,    0
  275,20191211,   65,    4,   64
  275,20191212,   51,   35,    6
  275,20191213,   60,    0,  126
  275,20191214,   75,   32,   70
  275,20191215,   86,   34,   16
  275,20191216,   81,    0,   23
  275,20191217,  150,   25,   25
  275,20191218,   83,   20,    0
  275,20191219,  136,   62,    4
  275,20191220,  113,    0,   30
  275,20191221,   87,   12,    5
  275,20191222,   87,    0,  140
  275,20191223,   83,    4,   19
  275,20191224,   94,    0,   98
  275,20191225,   86,   14,   18
  275,20191226,   61,    0,    0
  275,20191227,   66,   63,    0
  275,20191228,   26,   30,    0
  275,20191229,   40,   13,    0
  275,20191230,   77,   54,    0
  275,20191231,   82,   42,    6
  275,20200101,   26,   66,    0
  275,20200102,   66,    0,    0
  275,20200103,   96,    0,   62
  275,20200104,   73,    0,   50
  275,20200105,   69,    0,   12
  275,20200106,   63,   27,    7
  275,20200107,   76,    3,    6
  275,20200108,  114,    0,   82
  275,20200109,  122,    0,   64
  275,20200110,  113,    2,   28
  275,20200111,   66,   17,    0
  275,20200112,   92,    0,   35
  275,20200113,  103,   21,    0
  275,20200114,  118,    0,  119
  275,20200115,  117,    0,   38
  275,20200116,  104,   67,    0
  275,20200117,   99,    2,    9
  275,20200118,   71,   26,    9
  275,20200119,   73,   45,    2
  275,20200120,   55,    5,    0
  275,20200121,   31,   17,    0
  275,20200122,   49,    0,   61
  275,20200123,   50,   29,    0
  275,20200124,   23,    0,    0
  275,20200125,   17,    0,    0
  275,20200126,   83,   32,    8
  275,20200127,   91,    0,   93
  275,20200128,   74,   23,   34
  275,20200129,   61,    8,   30
  275,20200130,  111,   18,   61
  275,20200131,  121,    0,    0
  275,20200201,  115,   12,   40
  275,20200202,  109,    0,   70
  275,20200203,  106,   12,   20
  275,20200204,   67,   27,   37
  275,20200205,   69,   64,    0
  275,20200206,   80,   25,    0
  275,20200207,   84,   82,    0
  275,20200208,  106,    9,   21
  275,20200209,  123,    0,   55
  275,20200210,  103,   29,   27
  275,20200211,   77,   28,    6
  275,20200212,   72,   33,    0
  275,20200213,   78,    6,   88
  275,20200214,   78,   12,    8
  275,20200215,  127,   18,    0
  275,20200216,  172,    0,   63
  275,20200217,  107,   61,   21
  275,20200218,   88,   47,   34
  275,20200219,   80,   35,   36
  275,20200220,  101,    9,   62
  275,20200221,   84,   31,    0
  275,20200222,  108,    0,   38
  275,20200223,  118,    7,  129
  275,20200224,  104,    0,   84
  275,20200225,  100,   48,   11
  275,20200226,   59,   24,   87
  275,20200227,   32,    0,   84
  275,20200228,   68,   12,   78
  275,20200229,  135,   32,   22
  275,20200301,   99,   36,    0
  275,20200302,   79,    0,   85
  275,20200303,   94,   85,    2
  275,20200304,  105,   53,    5
  275,20200305,   67,    0,   80
  275,20200306,   79,   21,   60
  275,20200307,  108,   67,    0
  275,20200308,   91,    6,   41
  275,20200309,  100,   52,   25
  275,20200310,  122,    0,  165
  275,20200311,  132,   32,   83
  275,20200312,  110,   79,   38
  275,20200313,   91,   22,   42
  275,20200314,  121,   67,    3
  275,20200315,  113,    5,    0
  275,20200316,  143,   71,    0
  275,20200317,  140,   96,    0
  275,20200318,  156,   35,    0
  275,20200319,  101,    0,    0
  275,20200320,   87,    0,    4
  275,20200321,   88,  110,    0
  275,20200322,   92,  113,    0
  275,20200323,  103,  113,    0
  275,20200324,  111,  113,    0
  275,20200325,  122,  113,    0
  275,20200326,  114,  115,    0
  275,20200327,  159,  115,    0
  275,20200328,  133,  115,    0
  275,20200329,   76,   64,    0
  275,20200330,   87,   39,    0
  275,20200331,   97,  120,    0
  275,20200401,   97,   75,    0
  275,20200402,  107,   43,    5
  275,20200403,   91,   21,   13
  275,20200404,  144,  118,    0
  275,20200405,  198,  122,    0
  275,20200406,  237,  113,    0
  275,20200407,  196,  102,    0
  275,20200408,  249,  108,    0
  275,20200409,  208,  103,    0
  275,20200410,  184,  122,    0
  275,20200411,  214,  126,    0
  275,20200412,  234,  101,    0
  275,20200413,  110,   85,    2
  275,20200414,   97,   16,    0
  275,20200415,  181,  118,    0
  275,20200416,  222,  119,    0
  275,20200417,  178,  128,    0
  275,20200418,  203,   17,   22
  275,20200419,  179,  130,    0
  275,20200420,  186,  132,    0
  275,20200421,  192,  134,    0
  275,20200422,  214,  132,    0
  275,20200423,  235,  133,    0
  275,20200424,  196,  110,    0
  275,20200425,  168,   72,    0
  275,20200426,  182,  134,    0
  275,20200427,  219,  118,    0
  275,20200428,  140,    1,   17
  275,20200429,  162,   33,   83
  275,20200430,  170,   76,   14
  275,20200501,  138,   45,   14
  275,20200502,  137,   65,   19
  275,20200503,  172,   27,   15
  275,20200504,  165,  102,   23
  275,20200505,  156,  135,    0
  275,20200506,  182,  140,    0
  275,20200507,  214,  137,    0
  275,20200508,  231,  107,    0
  275,20200509,  251,  137,    0
  275,20200510,  241,   26,    9
  275,20200511,  124,  114,   10
  275,20200512,  125,   56,    0
  275,20200513,  126,   74,    0
  275,20200514,  138,  100,    0
  275,20200515,  151,   88,    0
  275,20200516,  174,   55,    0
  275,20200517,  194,   91,    0
  275,20200518,  233,  125,    0
  275,20200519,  237,   83,    0
  275,20200520,  222,   75,    0
  275,20200521,  270,  142,    0
  275,20200522,  271,   21,   12
  275,20200523,  201,   82,    0
  275,20200524,  150,   22,   77
  275,20200525,  204,   89,    0
  275,20200526,  236,  136,    0
  275,20200527,  223,  103,    0
  275,20200528,  212,  145,    0
  275,20200529,  231,  150,    0
  275,20200530,  243,  146,    0
  275,20200531,  224,  143,    0
  275,20200601,  252,  130,    0
  275,20200602,  290,  129,    0
  275,20200603,  248,   90,    0
  275,20200604,  163,    0,   55
  275,20200605,  139,   39,   42
  275,20200606,  171,   64,    4
  275,20200607,  168,   40,    9
  275,20200608,  176,    2,    2
  275,20200609,  179,   16,    0
  275,20200610,  192,   23,    0
  275,20200611,  212,   46,   26
  275,20200612,  273,  118,    6
  275,20200613,  266,   81,   25
  275,20200614,  253,   20,   56
  275,20200615,  237,   56,    0
  275,20200616,  217,    4,    0
  275,20200617,  244,   74,   13
  275,20200618,  231,   52,   44
  275,20200619,  234,  111,    0
  275,20200620,  217,   84,    0
  275,20200621,  255,   84,    4
  275,20200622,  243,  118,    0
  275,20200623,  283,  153,    0
  275,20200624,  300,  154,    0
  275,20200625,  299,  155,    0
  275,20200626,  311,  131,   27
  275,20200627,  272,   79,    9
  275,20200628,  222,   58,    2
  275,20200629,  201,   59,    0
  275,20200630,  198,   10,   84
  275,20200701,  211,   48,   99
  275,20200702,  211,   47,   14
  275,20200703,  218,   58,    1
  275,20200704,  184,    3,  124
  275,20200705,  220,   41,   43
  275,20200706,  182,   74,   20
  275,20200707,  195,   25,    5
  275,20200708,  173,    0,   64
  275,20200709,  180,    1,  111
  275,20200710,  172,   33,   29
  275,20200711,  202,  101,    2
  275,20200712,  213,   82,    0
  275,20200713,  240,  148,    0
  275,20200714,  175,    2,   49
  275,20200715,  210,  100,   12
  275,20200716,  185,    2,   44
  275,20200717,  211,   12,    0
  275,20200718,  262,   87,    0
  275,20200719,  248,   59,    0
  275,20200720,  211,  122,    0
  275,20200721,  215,  118,    0
  275,20200722,  206,   82,    0
  275,20200723,  254,   71,    0
  275,20200724,  215,   26,   10
  275,20200725,  219,    8,   45
  275,20200726,  224,   89,   17
  275,20200727,  230,   24,    7
  275,20200728,  216,   54,    0
  275,20200729,  213,   87,    0
  275,20200730,  259,  129,    0
  275,20200731,  323,  143,    0
  275,20200801,  268,   40,    6
  275,20200802,  231,   86,    0
  275,20200803,  224,   51,    0
  275,20200804,  224,  126,    0
  275,20200805,  289,  129,    0
  275,20200806,  316,  139,    0
  275,20200807,  343,  139,    0
  275,20200808,  359,  123,    0
  275,20200809,  339,   99,    0
  275,20200810,  336,   97,    0
  275,20200811,  354,  100,    0
  275,20200812,  342,   92,    0
  275,20200813,  332,   45,   33
  275,20200814,  297,   66,    0
  275,20200815,  297,   47,    0
  275,20200816,  307,   45,    5
  275,20200817,  271,   44,    1
  275,20200818,  261,  101,    0
  275,20200819,  282,  100,    0
  275,20200820,  291,   34,   14
  275,20200821,  305,   88,   26
  275,20200822,  248,   67,   13
  275,20200823,  221,   77,    0
  275,20200824,  212,   44,   18
  275,20200825,  202,   10,   35
  275,20200826,  187,    0,   96
  275,20200827,  205,   18,   15
  275,20200828,  211,   49,   20
  275,20200829,  197,   44,    3
  275,20200830,  187,   12,   37
  275,20200831,  187,   42,   13
  275,20200901,  197,   47,    0
  275,20200902,  223,   97,    0
  275,20200903,  199,    1,   96
  275,20200904,  216,   68,   27
  275,20200905,  198,   68,   23
  275,20200906,  190,   61,    4
  275,20200907,  214,   99,    0
  275,20200908,  181,    0,    0
  275,20200909,  210,    0,   12
  275,20200910,  194,   62,    0
  275,20200911,  207,   91,    0
  275,20200912,  189,   36,    0
  275,20200913,  231,   97,    0
  275,20200914,  298,  115,    0
  275,20200915,  326,   97,    0
  275,20200916,  257,   72,    0
  275,20200917,  196,  112,    0
  275,20200918,  218,  115,    0
  275,20200919,  243,  114,    0
  275,20200920,  238,  112,    0
  275,20200921,  260,  112,    0
  275,20200922,  240,  105,    0
  275,20200923,  231,   23,   16
  275,20200924,  186,   79,   23
  275,20200925,  146,   60,   14
  275,20200926,  150,   33,   95
  275,20200927,  153,    2,   33
  275,20200928,  126,    0,   42
  275,20200929,  182,   26,   59
  275,20200930,  192,   33,    0
  275,20201001,  158,    3,   39
  275,20201002,  173,   33,    0
  275,20201003,  151,    0,   32
  275,20201004,  144,   34,   21
  275,20201005,  134,    3,   28
  275,20201006,  139,   19,   45
  275,20201007,  158,   30,   35
  275,20201008,  157,    2,  119
  275,20201009,  151,   22,   15
  275,20201010,  124,   44,   51
  275,20201011,  137,   54,   11
  275,20201012,  128,   21,    4
  275,20201013,  131,   44,    0
  275,20201014,  116,   15,    0
  275,20201015,  115,    2,    0
  275,20201016,  112,    9,    0
  275,20201017,  110,    2,    0
  275,20201018,  122,   12,    0
  275,20201019,  126,   25,   12
  275,20201020,  139,    0,   14
  275,20201021,  196,    9,   85
  275,20201022,  176,   46,    0
  275,20201023,  158,   12,    0
  275,20201024,  156,    9,    9
  275,20201025,  155,    0,   41
  275,20201026,  119,   31,    0
  275,20201027,  115,    2,   37
  275,20201028,  127,   22,   59
  275,20201029,  129,   31,   95
  275,20201030,  153,    0,   84
  275,20201031,  155,   26,   71
  275,20201101,  175,    7,   43
  275,20201102,  192,    3,   50
  275,20201103,  125,   55,    0
  275,20201104,  118,   66,    0
  275,20201105,  121,   55,    0
  275,20201106,  126,   70,    0
  275,20201107,  144,   78,    0
  275,20201108,  135,   38,    0
  275,20201109,  173,   43,    3
  275,20201110,  159,   38,    0
  275,20201111,  142,   22,    0
  275,20201112,  123,   20,   13
  275,20201113,  127,   18,   15
  275,20201114,  146,   21,   15
  275,20201115,  159,   18,   37
  275,20201116,  115,    7,   18
  275,20201117,  126,    2,   25
  275,20201118,  153,   62,    0
  275,20201119,  133,   32,   11
  275,20201120,   84,   17,    0
  275,20201121,   95,    0,    6
  275,20201122,  111,   14,   63
  275,20201123,   96,   72,    0
  275,20201124,  100,   11,    0
  275,20201125,   93,   53,    0
  275,20201126,   92,    0,   65
  275,20201127,   75,   10,   47
  275,20201128,   40,    0,    0
  275,20201129,   35,   53,    0
  275,20201130,   64,    0,   83
