# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 275:         5.873       52.056      48.20  DEELEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  275,20191201,   -1
  275,20191202,   28
  275,20191203,   42
  275,20191204,    7
  275,20191205,   11
  275,20191206,   57
  275,20191207,   85
  275,20191208,   88
  275,20191209,   57
  275,20191210,   38
  275,20191211,   57
  275,20191212,   43
  275,20191213,   40
  275,20191214,   52
  275,20191215,   69
  275,20191216,   70
  275,20191217,  104
  275,20191218,   64
  275,20191219,  102
  275,20191220,   98
  275,20191221,   73
  275,20191222,   72
  275,20191223,   70
  275,20191224,   74
  275,20191225,   70
  275,20191226,   53
  275,20191227,   29
  275,20191228,    0
  275,20191229,    9
  275,20191230,   42
  275,20191231,   31
  275,20200101,   -3
  275,20200102,   25
  275,20200103,   68
  275,20200104,   56
  275,20200105,   62
  275,20200106,   53
  275,20200107,   66
  275,20200108,   99
  275,20200109,  112
  275,20200110,   51
  275,20200111,   47
  275,20200112,   64
  275,20200113,   76
  275,20200114,  100
  275,20200115,   92
  275,20200116,   69
  275,20200117,   79
  275,20200118,   31
  275,20200119,   18
  275,20200120,   21
  275,20200121,   -1
  275,20200122,   29
  275,20200123,   32
  275,20200124,   14
  275,20200125,   10
  275,20200126,   48
  275,20200127,   78
  275,20200128,   46
  275,20200129,   45
  275,20200130,   80
  275,20200131,  107
  275,20200201,  100
  275,20200202,   85
  275,20200203,   87
  275,20200204,   35
  275,20200205,   25
  275,20200206,   42
  275,20200207,   39
  275,20200208,   68
  275,20200209,   98
  275,20200210,   74
  275,20200211,   54
  275,20200212,   44
  275,20200213,   50
  275,20200214,   64
  275,20200215,  100
  275,20200216,  122
  275,20200217,   75
  275,20200218,   69
  275,20200219,   52
  275,20200220,   74
  275,20200221,   63
  275,20200222,   84
  275,20200223,   79
  275,20200224,   67
  275,20200225,   58
  275,20200226,   23
  275,20200227,   20
  275,20200228,   33
  275,20200229,   84
  275,20200301,   63
  275,20200302,   52
  275,20200303,   41
  275,20200304,   55
  275,20200305,   53
  275,20200306,   53
  275,20200307,   60
  275,20200308,   81
  275,20200309,   74
  275,20200310,   99
  275,20200311,  107
  275,20200312,   79
  275,20200313,   55
  275,20200314,   65
  275,20200315,   93
  275,20200316,   81
  275,20200317,   80
  275,20200318,  106
  275,20200319,   87
  275,20200320,   62
  275,20200321,   41
  275,20200322,   42
  275,20200323,   42
  275,20200324,   48
  275,20200325,   59
  275,20200326,   57
  275,20200327,   84
  275,20200328,   73
  275,20200329,   34
  275,20200330,   27
  275,20200331,   33
  275,20200401,   33
  275,20200402,   60
  275,20200403,   50
  275,20200404,   71
  275,20200405,  129
  275,20200406,  154
  275,20200407,  126
  275,20200408,  165
  275,20200409,  137
  275,20200410,  106
  275,20200411,  118
  275,20200412,  138
  275,20200413,   75
  275,20200414,   58
  275,20200415,   82
  275,20200416,  137
  275,20200417,  107
  275,20200418,  112
  275,20200419,  122
  275,20200420,  121
  275,20200421,  136
  275,20200422,  148
  275,20200423,  152
  275,20200424,  118
  275,20200425,  102
  275,20200426,   91
  275,20200427,  128
  275,20200428,  104
  275,20200429,  120
  275,20200430,  114
  275,20200501,   97
  275,20200502,   93
  275,20200503,  103
  275,20200504,  108
  275,20200505,   90
  275,20200506,  110
  275,20200507,  118
  275,20200508,  142
  275,20200509,  175
  275,20200510,  140
  275,20200511,   77
  275,20200512,   70
  275,20200513,   70
  275,20200514,   72
  275,20200515,   82
  275,20200516,   99
  275,20200517,  111
  275,20200518,  147
  275,20200519,  164
  275,20200520,  157
  275,20200521,  193
  275,20200522,  193
  275,20200523,  154
  275,20200524,  127
  275,20200525,  147
  275,20200526,  152
  275,20200527,  155
  275,20200528,  142
  275,20200529,  153
  275,20200530,  177
  275,20200531,  163
  275,20200601,  186
  275,20200602,  217
  275,20200603,  179
  275,20200604,  125
  275,20200605,   90
  275,20200606,  118
  275,20200607,  123
  275,20200608,  137
  275,20200609,  133
  275,20200610,  142
  275,20200611,  159
  275,20200612,  206
  275,20200613,  209
  275,20200614,  184
  275,20200615,  192
  275,20200616,  185
  275,20200617,  194
  275,20200618,  183
  275,20200619,  180
  275,20200620,  165
  275,20200621,  193
  275,20200622,  180
  275,20200623,  204
  275,20200624,  231
  275,20200625,  241
  275,20200626,  246
  275,20200627,  212
  275,20200628,  176
